id,name,type,is_seed
SepandKashani/xrt_toolkit,xrt_toolkit,repo,False
HaouchatY/cryoCT,cryoCT,repo,False
HaouchatY/diffusion_tomography,diffusion_tomography,repo,False
HaouchatY/pixe_platform_rec,pixe_platform_rec,repo,False
HaouchatY/rt_tomo_basis_functions,rt_tomo_basis_functions,repo,False
HaouchatY/Student_project_tomography,Student_project_tomography,repo,False
rakibtg/10xFileHandler,10xFileHandler,repo,False
rakibtg/animated_routes_react,animated_routes_react,repo,False
rakibtg/Apache-Virtual-Hosts-Creator,Apache-Virtual-Hosts-Creator,repo,False
rakibtg/aws-lambda,aws-lambda,repo,False
rakibtg/angular-styleguide,angular-styleguide,repo,False
rakibtg/Back-End-Developer-Interview-Questions,Back-End-Developer-Interview-Questions,repo,False
rakibtg/backstage,backstage,repo,False
rakibtg/bangla-calendar,bangla-calendar,repo,False
rakibtg/banglaquran.online,banglaquran.online,repo,False
